"TID","RID","t_chabvpovE","r_chabvpovE","t_chabvpovM","r_chabvpovM","t_chabvpovCV","r_chabvpovCV","min"
"g45015020201",0,0.49455676516329705,0.7518604266578469,0.25249915419484514,0.012744786002472499,0.31036867226259374,0.01030455919790683,0.2420576109684519
"g45015020202",0,0.5956375838926175,0.7518604266578469,0.27826663115882033,0.012744786002472499,0.28399659603691413,0.01030455919790683,0.3173709527337971
"g45019001901",2,0.652931854199683,0.7232689862443649,0.30840265791888816,0.05108562399598702,0.28713382292150147,0.042937124590844505,0.34452919628079487
"g45019002613",2,0.6220043572984749,0.7232689862443649,0.22759040778062306,0.05108562399598702,0.22243064675380148,0.042937124590844505,0.39441394951785186
"g45015020505",3,0.7397435897435898,0.7320899940793368,0.3574132052240592,0.04747712434021463,0.29371321116430354,0.039423396025708664,0.38233038451953055
"g45015020806",3,0.6636670416197975,0.7320899940793368,0.17096930233460889,0.04747712434021463,0.15660368839881234,0.039423396025708664,0.4926977392851886
"g45015020506",3,0.5954645208485735,0.7320899940793368,0.1476692779868055,0.04747712434021463,0.1507538315108423,0.039423396025708664,0.447795242861768
"g45015020405",3,0.9712837837837838,0.7320899940793368,0.5649230367828949,0.04747712434021463,0.3535714949390498,0.039423396025708664,0.40636074700088887
"g45019000400",4,0.3895582329317269,0.6118598382749326,0.3570338873568706,0.02846397164511289,0.55714873532329,0.028279885597356513,0.03252434557485634
"g45019000100",4,0.7277486910994765,0.6118598382749326,0.27954488630733026,0.02846397164511289,0.2335093187758854,0.028279885597356513,0.4482038047921462
"g45019005100",4,0.2832369942196532,0.6118598382749326,0.18339914148850922,0.02846397164511289,0.3936238630049264,0.028279885597356513,0.09983785273114398
"g45019002004",6,0.7844827586206896,0.8940336749633968,0.48962333339928293,0.02319502399149571,0.37941351865003387,0.01577157430500696,0.2948594252214067
"g45019001902",6,0.5,0.8940336749633968,0.10347730150978668,0.02319502399149571,0.12580826931281056,0.01577157430500696,0.3965226984902133
"g45019002702",8,0.645,0.7114955357142857,0.15087948901053988,0.0551579349215738,0.14220163427868324,0.047127013232950835,0.49412051098946014
"g45019002701",8,0.42643391521197005,0.7114955357142857,0.14607896885881105,0.0551579349215738,0.2082428287469853,0.047127013232950835,0.280354946353159
"g45019004901",9,1.0,0.9543060981824358,0.5733298225836871,0.00951678435314787,0.34852876752807727,0.006062288874663777,0.42667017741631286
"g45019000700",10,1.0,0.6655933762649494,1.193242693252299,0.08102391360160173,0.7253754974178109,0.07400112513254849,-0.19324269325229904
"g45019000600",10,1.0,0.6655933762649494,0.9697464427701223,0.08102391360160173,0.5895115153617765,0.07400112513254849,0.03025355722987766
"g45019001100",10,0.2966101694915254,0.6655933762649494,0.18373094417471958,0.08102391360160173,0.37655668975452733,0.07400112513254849,0.11287922531680583
"g45019001600",10,1.0,0.6655933762649494,0.7847160620484857,0.08102391360160173,0.47703104075895786,0.07400112513254849,0.21528393795151435
"g45019004400",10,0.576427255985267,0.6655933762649494,0.23183462034068386,0.08102391360160173,0.24449381676489185,0.07400112513254849,0.34459263564458315
"g45019002105",11,1.0,0.817258883248731,1.2856486930664501,0.06623107854714877,0.7815493574872037,0.04926474909395423,-0.28564869306645013
"g45019002104",11,1.0,0.817258883248731,1.705375178155791,0.06623107854714877,1.0367022359609672,0.04926474909395423,-0.7053751781557911
"g45019003110",12,0.5402124430955993,0.62322206095791,0.12844756152783593,0.05779969664382859,0.1445424388628187,0.05637893121185269,0.4117648815677634
"g45019003900",12,0.5467196819085487,0.62322206095791,0.19907745441972693,0.05779969664382859,0.22135608637330234,0.05637893121185269,0.3476422274888218
"g45019002611",12,0.7641509433962265,0.62322206095791,0.4075911950667403,0.05779969664382859,0.32424981558088084,0.05637893121185269,0.35655974832948617
"g45019003300",14,0.4639269406392694,0.541592014333248,0.1373608533739598,0.07210477991832466,0.17998963028562573,0.08093304886230672,0.3265660872653096
