"TID","RID","t_avghmvalE","r_avghmvalE","t_avghmvalM","r_avghmvalM","t_avghmvalCV","r_avghmvalCV"
"g37179021010",10,493819.0232558139,434605.45864661655,98930.70985416295,40396.405654060356,0.12178601131028581,0.056504319067827796
"g37119006403",29,393558.2061068702,388539.1617933723,97905.48245558828,31838.577460487486,0.15122797514515068,0.04981417637621774
"g45023020700",23,199689.0243902439,196028.6370949207,96269.59540495525,14107.15378624665,0.29306843767127094,0.04374757435825556
"g37119005613",53,178584.26229508198,151493.9259855189,96264.06576150915,23716.05259177891,0.32768390764510874,0.09516588307745168
"g37097061408",35,248108.5489313836,389924.5338799322,96153.62655772913,18053.556012007288,0.2355906431698398,0.028145974753427658
"g37119006405",19,256584.95460440987,237521.0571004033,95770.34650294746,25479.394453668876,0.22689972494549168,0.06521103340454172
"g37071032402",27,354924.7782002535,278176.98995783157,95619.48397965937,20217.465259313994,0.16377370489330884,0.04418141284487982
"g37119006204",29,592827.5458447132,388539.1617933723,95076.89132718826,31838.577460487486,0.0974946301528604,0.04981417637621774
"g45091061708",27,381203.2967032967,278176.98995783157,94698.68029949423,20217.465259313994,0.15101544846557283,0.04418141284487982
"g45023020500",5,160705.75815738965,137662.12035731078,93683.66173081365,10213.531450121045,0.35437780759467447,0.045101976434511165
"g37119000500",6,283111.0966057441,245008.2085080887,92860.12286185933,47884.256184936516,0.19939141697080046,0.1188081432146318
"g37097061204",35,451409.7664543524,389924.5338799322,92047.88256483994,18053.556012007288,0.12395868182781747,0.028145974753427658
"g37119005915",83,200533.17535545025,111683.24468085106,91032.68887501764,0.0,0.27595942912999827,0.0
"g37119006107",67,191602.21579961464,215223.0994779375,89780.07500287466,12771.055738183471,0.2848482360471044,0.036072149030900426
"g37025040701",75,196837.1571072319,147200.99657427592,89770.99201140017,26984.45866032041,0.27724456306866385,0.11143896182115598
"g37119003400",33,446981.6199376947,848206.8842427332,89694.54370267832,80318.17415813085,0.12198613108402914,0.057563359474131826
"g45091060901",44,167003.74531835207,134725.93537414967,89276.02349317312,21698.157713926623,0.32496959153922117,0.0979051983890647
"g37097061302",76,213143.58333333334,179133.94991820812,88025.88357733433,18895.242386946946,0.2510569381920605,0.06412223669149617
"g37119005709",11,249562.86956521738,213622.03894332136,84389.36303097742,9102.921853819611,0.20556152735487704,0.02590412077292777
"g37119006404",35,525566.5246500304,389924.5338799322,84149.529652363,18053.556012007288,0.09733254854086573,0.028145974753427658
"g37119005301",90,138497.85407725323,89333.89232127096,83696.64638058683,0.0,0.36736612730309764,0.0
"g37119002400",14,337207.4780058651,600332.8295042322,83102.53435357369,112462.55304103845,0.14981357550089566,0.1138806513354051
"g37119001702",89,181126.7605633803,146356.82158920538,82936.88688280708,27733.622084216066,0.27835511582198297,0.1151934330698099
"g37109071202",35,471394.03594771243,389924.5338799322,81942.88566898662,18053.556012007288,0.10567232624803917,0.028145974753427658
"g37071031701",5,195784.96993987975,137662.12035731078,80093.32777018413,10213.531450121045,0.24868585707439503,0.045101976434511165
"g37109071201",43,375371.7455621302,178649.7228870135,79884.72667376004,11163.733362276254,0.12937080227469686,0.03798754311143287
"g37097061205",35,335073.3128834356,389924.5338799322,79884.02792919248,18053.556012007288,0.14492863871491196,0.028145974753427658
"g37025041602",66,254470.9711846318,183747.37978327126,79603.45193921057,9182.186732882843,0.19016375804585858,0.03037799200155787
"g37119005710",30,151616.4736164736,128875.23277467412,79208.23684025496,10011.113242829506,0.3175835890766067,0.04722228620126358
"g37119000600",6,258938.37535014006,245008.2085080887,78579.72282775331,47884.256184936516,0.18447952491447303,0.1188081432146318
"g45091061707",23,360439.7345823575,196028.6370949207,76984.95889459763,14107.15378624665,0.1298396447977758,0.04374757435825556
"g37119005843",7,332471.1693548387,248748.89682585403,76976.45249153257,15519.489053538315,0.14074662814910877,0.03792716257463497
"g37119006304",35,339262.6131953428,389924.5338799322,76812.30584179831,18053.556012007288,0.13763500318024136,0.028145974753427658
"g37179021007",20,561756.9155446757,521332.74932614557,76055.61460637602,39680.793289073976,0.082303243439843,0.046269993244985784
"g37097061407",35,411116.7189952904,389924.5338799322,75224.56532985318,18053.556012007288,0.11123171822653925,0.028145974753427658
"g37179021006",20,512622.15189873416,521332.74932614557,75068.8892318989,39680.793289073976,0.08902187108119793,0.046269993244985784
"g37119005911",27,343441.13263785397,278176.98995783157,73937.00865750572,20217.465259313994,0.13087107381976393,0.04418141284487982
"g37119005617",30,176855.8419243986,128875.23277467412,73124.38770209592,10011.113242829506,0.251348866040995,0.04722228620126358
"g37119001701",89,194429.6577946768,146356.82158920538,72792.61790717904,27733.622084216066,0.2275930125909405,0.1151934330698099
"g37119006103",8,321776.35619242577,162024.65897166842,72263.10557981412,12084.014077370293,0.13652009762932069,0.04533819272220389
"g37097061104",76,195724.72783825817,179133.94991820812,71796.16861576955,18895.242386946946,0.22299219820852856,0.06412223669149617
"g37119002906",38,406398.01084990957,335366.18217054266,71310.53473304668,45747.0236916144,0.10666850718085853,0.08292350965734585
"g37119002004",79,325757.56422454806,359019.96383363474,70901.98321122104,45606.95589824492,0.1323116153986955,0.07722298491473288
"g37025041200",52,277668.7876758205,208236.95740365112,70684.1561752109,34107.904289346145,0.15474944900897847,0.09957064576966118
"g37119000900",2,162767.29559748428,287578.95870736084,70306.64539335966,38628.31840345732,0.26258101731029315,0.08165500192776301
"g37025041301",35,287624.2122719735,389924.5338799322,69462.4241856289,18053.556012007288,0.14681099809950865,0.028145974753427658
"g37119005511",13,163767.1031096563,187488.57664233577,69071.87614506995,28980.252718739226,0.25639448742580384,0.09396399087618125
"g37179021005",22,223654.03348554033,220101.10255773528,68672.07904288213,14556.601997542422,0.18665411062044712,0.04020424283188959
"g37119002904",81,502737.09288299154,540915.2451481103,68378.10175347902,46243.29194511815,0.08268185438660751,0.05197010793649669
"g37119003013",84,452192.35511713935,346946.8023255814,68356.6460285766,25393.323784532004,0.09189494613165611,0.04449290464752696
"g37179021004",22,302132.64427217917,220101.10255773528,67780.906457485,14556.601997542422,0.13637784342587944,0.04020424283188959
"g37119005815",63,382416.08315098466,340390.66147859924,67526.78559379533,28846.352272362485,0.10734307340831846,0.051516620289143
"g37119003102",45,265188.2494004796,214845.92703648176,67301.87667541855,32687.494157392408,0.1542790641438963,0.09248868429133274
"g37179020601",54,210665.99394550957,177658.99424568427,67291.15748252998,23698.67816255215,0.19417694306830063,0.08109069481899421
"g37159051301",40,171046.17886178862,150331.71447933136,66557.0149319751,16912.649116184373,0.23654542718959218,0.06839039718892784
"g37119005912",48,181015.95744680852,171498.6346396966,66416.14561376681,18837.577581738842,0.22304418446632043,0.06677263039070074
"g37159051501",75,170731.18421052632,147200.99657427592,66189.99086732167,26984.45866032041,0.23567502738968507,0.11143896182115598
"g37025040800",75,154743.34600760456,147200.99657427592,66073.32774107698,26984.45866032041,0.2595662929476261,0.11143896182115598
"g37119001915",56,134750.93984962406,205013.0603448276,66055.13209670153,27089.829295125193,0.29799491969648506,0.08032649874463518
