"TID","RID","t_drvloneE","r_drvloneE","t_drvloneM","r_drvloneM","t_drvloneCV","r_drvloneCV"
"g37119002800",0,0.8594628357276702,0.8306509728561133,0.05305904875759193,0.043294662871702555,0.03752895360363711,0.03168472060468527
"g37119002701",0,0.8186475409836066,0.8306509728561133,0.10668470768507843,0.043294662871702555,0.07922081530532964,0.03168472060468527
"g37119003500",0,0.808953341740227,0.8306509728561133,0.07836553911830511,0.043294662871702555,0.05888921294441073,0.03168472060468527
"g37025042300",1,0.7755102040816326,0.743920972644377,0.05240792553282936,0.029651770680776224,0.04108124061923914,0.02423025183311642
"g37025042401",1,0.8912751677852349,0.743920972644377,0.06295986444296936,0.029651770680776224,0.042942376506035246,0.02423025183311642
"g37025041902",1,0.6448598130841121,0.743920972644377,0.050761872389251214,0.029651770680776224,0.04785269675917255,0.02423025183311642
"g37025040703",1,0.6640866873065016,0.743920972644377,0.1524982311311686,0.029651770680776224,0.13959637144520007,0.02423025183311642
"g37025042101",1,0.6733870967741935,0.743920972644377,0.07934621596644985,0.029651770680776224,0.07163009504278822,0.02423025183311642
"g37071032900",2,0.8151950718685832,0.7932734125833575,0.06378262201019955,0.021087791522347913,0.04756362217997777,0.016160035052297846
"g37071032800",2,0.7771629778672032,0.7932734125833575,0.1659289011832166,0.021087791522347913,0.12979083642782763,0.016160035052297846
"g37097060500",3,0.7718978102189781,0.7661737523105361,0.04346502989784116,0.04374651651528946,0.034230581077434964,0.03470965558500057
"g37097060100",3,0.7588062622309197,0.7661737523105361,0.08962376179251211,0.04374651651528946,0.07180031673021808,0.03470965558500057
"g37097060200",3,0.7690607734806629,0.7661737523105361,0.1446873506381014,0.04374651651528946,0.11436786179600478,0.03470965558500057
"g37097060603",3,0.769889840881273,0.7661737523105361,0.018558703653181834,0.04374651651528946,0.01465389737620825,0.03470965558500057
"g37179020100",4,0.8103070175438597,0.791267942583732,0.07048334284374691,0.04177914044085064,0.0528775093867069,0.03209741276830188
"g37179020701",4,0.7684210526315789,0.791267942583732,0.03668011932003016,0.04177914044085064,0.029017873467984057,0.03209741276830188
"g37025041503",5,0.9054325955734407,0.8667338032896945,0.06545554675621204,0.04612476940382389,0.04394651366138114,0.03235061721527605
"g37025042102",5,0.8279569892473119,0.8667338032896945,0.06379626513654699,0.04612476940382389,0.046840505725329565,0.03235061721527605
"g37119001914",6,0.6329185520361991,0.7265236725085011,0.05014432726573808,0.03846307487118244,0.04816239565060256,0.03218313362260905
"g37119001919",6,0.709493670886076,0.7265236725085011,0.07321390164379575,0.03846307487118244,0.06273055407931873,0.03218313362260905
"g37119001802",6,0.7914951989026063,0.7265236725085011,0.05389185855509459,0.03846307487118244,0.041391291173467154,0.03218313362260905
"g37119002100",6,0.7535903250188964,0.7265236725085011,0.09586829588838189,0.03846307487118244,0.07733459067800925,0.03218313362260905
"g37119001918",6,0.7673038892551087,0.7265236725085011,0.14424763675577415,0.03846307487118244,0.11428136128354663,0.03218313362260905
"g37119006302",7,0.8253968253968254,0.8343497610021428,0.04166869963433483,0.04703797107297952,0.03068889498437099,0.03427161201103481
"g37119005509",7,0.8432467959250739,0.8343497610021428,0.08348402472555529,0.04703797107297952,0.06018423936107782,0.03427161201103481
"g37119001606",8,0.6546102903718798,0.6375922009594058,0.11763737348384916,0.02575504789202896,0.10924374730585355,0.024555764710646976
"g37119001607",8,0.7081993569131833,0.6375922009594058,0.11407436933139609,0.02575504789202896,0.09791892706081907,0.024555764710646976
"g37119001702",8,0.603656164916375,0.6375922009594058,0.046728496144664934,0.02575504789202896,0.04705721946696234,0.024555764710646976
"g37119001915",8,0.6710447761194029,0.6375922009594058,0.095028094106241,0.02575504789202896,0.08608641392981735,0.024555764710646976
"g37119001912",8,0.635438596491228,0.6375922009594058,0.03607184474897777,0.02575504789202896,0.03450872078083667,0.024555764710646976
"g37119001603",8,0.6294444444444445,0.6375922009594058,0.013906229175320821,0.02575504789202896,0.013430311176223371,0.024555764710646976
"g37119001605",8,0.6820365033621518,0.6375922009594058,0.1108685438247252,0.02575504789202896,0.0988177183283008,0.024555764710646976
"g37119001920",8,0.6230440967283073,0.6375922009594058,0.05036536695835685,0.02575504789202896,0.0491413762081371,0.024555764710646976
"g37119001910",8,0.5803172021146807,0.6375922009594058,0.05992885179054627,0.02575504789202896,0.0627775857924369,0.024555764710646976
"g37071033305",9,0.8868188169538892,0.9004811344644214,0.07990326769216112,0.05551467903859285,0.054772648123633465,0.037477215190628306
"g37071033304",9,0.9167591564927858,0.9004811344644214,0.07584149687281586,0.05551467903859285,0.05029047497546095,0.037477215190628306
"g37025042200",10,0.7922297297297297,0.7981522628932288,0.04642834811267779,0.03750451869495712,0.035625928649464685,0.02856484980443153
"g37025040500",10,0.8012877839384726,0.7981522628932288,0.0517074050822981,0.03750451869495712,0.039228194449512685,0.02856484980443153
"g37119004000",11,0.8157582938388626,0.766497461928934,0.06867063625193098,0.028477136191902636,0.051173329092255755,0.022584978883652327
"g37119006010",11,0.7346469622331692,0.766497461928934,0.034708768300066535,0.028477136191902636,0.028720673033848412,0.022584978883652327
"g37119004303",11,0.8662239089184061,0.766497461928934,0.08859037493739219,0.028477136191902636,0.06217137476172368,0.022584978883652327
"g37119004304",11,0.7586705202312138,0.766497461928934,0.07162678401712541,0.028477136191902636,0.05739265831796299,0.022584978883652327
"g37119004400",11,0.7239555790586991,0.766497461928934,0.0902494658575828,0.028477136191902636,0.0757821318943293,0.022584978883652327
"g37159051001",12,0.8513821138211383,0.8664869721473495,0.06285217497408134,0.036574839818995876,0.044877627192919746,0.025659872442882994
"g37159050903",12,0.885140562248996,0.8664869721473495,0.025512900749779154,0.036574839818995876,0.017521920042296708,0.025659872442882994
"g37119001505",13,0.8164218958611482,0.766320645905421,0.06379887974059512,0.04924414854058193,0.047504254499703746,0.0390641342735677
"g37119001509",13,0.7559055118110236,0.766320645905421,0.07964719722409531,0.04924414854058193,0.06405264721036034,0.0390641342735677
"g37119001400",13,0.7243055555555555,0.766320645905421,0.10899678289029907,0.04924414854058193,0.09147995894589238,0.0390641342735677
"g37119005828",14,0.8143651997976732,0.8143651997976732,0.06924948926503667,0.06924948926503667,0.05169296768939474,0.05169296768939474
"g37097061406",15,0.645473041709054,0.7608760876087609,0.06625461668113672,0.030513952383049464,0.06239821049296399,0.0243791537525778
"g37119006204",15,0.7869242199108469,0.7608760876087609,0.03074712937872766,0.030513952383049464,0.02375230497052741,0.0243791537525778
"g37097061405",15,0.8651685393258427,0.7608760876087609,0.07931102048321449,0.030513952383049464,0.05572716080216389,0.0243791537525778
"g37179020314",16,0.8144404332129964,0.8144404332129964,0.04528345819158788,0.04528345819158788,0.033799817626672925,0.033799817626672925
"g37119005519",17,0.8004676539360873,0.8004676539360873,0.037741310227574286,0.037741310227574286,0.028662052261864492,0.028662052261864492
"g37071031201",18,0.9490322580645161,0.9363026819923371,0.18830536437221654,0.015648782090571554,0.1206190254864299,0.010160109144229481
"g37119006005",18,0.9079037800687285,0.9363026819923371,0.044062206604663944,0.015648782090571554,0.029502615274780798,0.010160109144229481
"g37119006009",18,0.9547395388556789,0.9363026819923371,0.05308762873014857,0.015648782090571554,0.03380200925610974,0.010160109144229481
"g37119005616",19,0.8300117233294255,0.7348730274845856,0.1614636562229616,0.03017178506021357,0.11825639994349103,0.024958747959063703
"g37119001609",19,0.7118533071381794,0.7348730274845856,0.0726427012757281,0.03017178506021357,0.0620348270933563,0.024958747959063703
"g37119001507",19,0.6305732484076433,0.7348730274845856,0.09876841733414736,0.03017178506021357,0.09521747273010431,0.024958747959063703
"g37119001608",19,0.745872641509434,0.7348730274845856,0.05432044054457019,0.03017178506021357,0.04427236309025604,0.024958747959063703
"g37119001504",19,0.7510114012504597,0.7348730274845856,0.05777589110722869,0.03017178506021357,0.046766430170240986,0.024958747959063703
"g37119001510",19,0.7807308970099668,0.7348730274845856,0.05308745713068002,0.03017178506021357,0.041335638870425365,0.024958747959063703
"g37109070901",20,0.9218009478672986,0.932427843803056,0.05909878459297155,0.033664543532513885,0.03897404630098841,0.021947830323687925
"g37109070202",20,0.9404407385348421,0.932427843803056,0.03948287410650525,0.033664543532513885,0.025521807163097078,0.021947830323687925
"g45023020400",21,0.8117647058823529,0.814662273476112,0.10429522275442728,0.06443159492188012,0.0781031138198874,0.048078994308310856
"g45023020300",21,0.8170823885109599,0.814662273476112,0.07969169838848345,0.06443159492188012,0.059289983645652654,0.048078994308310856
"g37071031800",22,0.8296507483962936,0.828078250863061,0.05517012325944953,0.030938678498005464,0.04042432181922085,0.022712475872923955
"g37071030802",22,0.8511287370347773,0.828078250863061,0.0681108134887593,0.030938678498005464,0.048646870960367135,0.022712475872923955
"g37071031500",22,0.797390636991558,0.828078250863061,0.027294763845119602,0.030938678498005464,0.020808573412119346,0.022712475872923955
"g37119005711",23,0.8585703305149884,0.8585703305149884,0.058556206428065145,0.058556206428065145,0.04146017723489305,0.04146017723489305
"g37119001701",24,0.5829551185073122,0.6313526939243409,0.06463741966640627,0.02823125898218945,0.06740358389083181,0.027182682086880617
"g37119001801",24,0.7517241379310344,0.6313526939243409,0.09749637354774518,0.02823125898218945,0.07884316758831629,0.027182682086880617
"g37119005200",24,0.47018030513176146,0.6313526939243409,0.10487963032923685,0.02823125898218945,0.13560035051668104,0.027182682086880617
"g37119000900",24,0.7763713080168776,0.6313526939243409,0.1685025395640026,0.02823125898218945,0.1319383569336217,0.027182682086880617
"g37119004900",24,0.56,0.6313526939243409,0.21611550018794945,0.02823125898218945,0.23460214957441317,0.027182682086880617
"g37119000800",24,0.7070844686648501,0.6313526939243409,0.1692876087984901,0.02823125898218945,0.14554187660170864,0.027182682086880617
"g37119001300",24,0.7209762532981531,0.6313526939243409,0.04445581125772202,0.02823125898218945,0.0374836329928818,0.027182682086880617
"g37119001200",24,0.6329841162554917,0.6313526939243409,0.03590639427604241,0.02823125898218945,0.034483638284178955,0.027182682086880617
"g37119002300",24,0.3628158844765343,0.6313526939243409,0.10707995404606199,0.02823125898218945,0.17941385637622934,0.027182682086880617
"g37119000700",24,0.6103448275862069,0.6313526939243409,0.31385178749799647,0.02823125898218945,0.3125960138561262,0.027182682086880617
"g45057010500",25,0.7922964407606046,0.8163215590742996,0.07857405366665453,0.05744263929223634,0.06028726081657552,0.042776694031293146
"g45057010600",25,0.8403115871470301,0.8163215590742996,0.08324323125959207,0.05744263929223634,0.06022026683168635,0.042776694031293146
"g37119005914",26,0.7910742496050553,0.7928824422330916,0.07055598433350987,0.0406414193885429,0.0542189003219933,0.03115976430736406
"g37119005909",26,0.7942302031204004,0.7928824422330916,0.047767869725712155,0.0406414193885429,0.03656146362119957,0.03115976430736406
"g37119005717",27,0.8213002286834368,0.8324810799754551,0.07243091470741739,0.052558745875253846,0.053611273505307575,0.038379977832328785
"g37119005709",27,0.8512035010940919,0.8324810799754551,0.07185263563244879,0.052558745875253846,0.05131488968523311,0.038379977832328785
"g37119000500",28,0.5231277533039648,0.5356418233464088,0.07223162635959028,0.04692661023165517,0.0839370554912916,0.053257257904673894
"g37119000400",28,0.6589147286821705,0.5356418233464088,0.12540416795377726,0.04692661023165517,0.11569560283237809,0.053257257904673894
"g37119000300",28,0.762114537444934,0.5356418233464088,0.12238145238618628,0.04692661023165517,0.09761789866529959,0.053257257904673894
"g37119000100",28,0.42804016362960207,0.5356418233464088,0.08342785277238494,0.04692661023165517,0.11848425505768376,0.053257257904673894
"g37119002600",28,0.7796976241900648,0.5356418233464088,0.17040104540086837,0.04692661023165517,0.13285568459884659,0.053257257904673894
"g37097061303",29,0.86184565569347,0.9032258064516129,0.07939915496477792,0.03968343787814174,0.05600418495535264,0.02670834941863643
"g37097061501",29,0.9496969696969697,0.9032258064516129,0.19911821501004406,0.03968343787814174,0.12745592696111582,0.02670834941863643
"g37119005837",30,0.7318378791741015,0.7291747384734599,0.07836843749787027,0.061087760975841815,0.06509691407400597,0.05092800812646693
"g37119005840",30,0.7207425343018563,0.7291747384734599,0.05642511523653867,0.061087760975841815,0.04759117198478637,0.05092800812646693
"g37159051201",31,0.8382409177820268,0.8380997400141811,0.03488608477416208,0.03424747941624339,0.025299822422634902,0.024840881614992497
"g37159051204",31,0.8378712871287128,0.8380997400141811,0.06966873530314703,0.03424747941624339,0.050546922211744824,0.024840881614992497
"g37109071002",32,0.9046875,0.8946052161486245,0.05175287151144446,0.03835270801948546,0.03477522588187836,0.026061457836832447
"g37071030101",32,0.8861092824226465,0.8946052161486245,0.054332123311918515,0.03835270801948546,0.03727378444780853,0.026061457836832447
"g37179020202",33,0.8976660682226212,0.8976660682226212,0.02642427686213679,0.02642427686213679,0.017894616671380172,0.017894616671380172
"g45057010900",34,0.8451612903225807,0.8071449317455707,0.03778095750307195,0.05640351281006987,0.02717486908269868,0.04248041260497381
"g45057010800",34,0.7824639289678136,0.8071449317455707,0.13681189502423458,0.05640351281006987,0.10629029935272184,0.04248041260497381
"g45057010700",34,0.7802964254577158,0.8071449317455707,0.13051329390197844,0.05640351281006987,0.10167852344539523,0.04248041260497381
