"TID","RID","t_transitE","r_transitE","t_transitM","r_transitM","t_transitCV","r_transitCV"
"g37119003500",0,0.0018915510718789407,0.0024021138601969735,0.0044036972250258944,0.004721386132359957,1.4152510230782305,1.1948407579948024
"g37119002800",0,0.004372267332916927,0.0024021138601969735,0.00810469858855748,0.004721386132359957,1.1268451967243183,1.1948407579948024
"g37119002701",0,0.0,0.0024021138601969735,0.013319672131147542,0.004721386132359957,"inf",1.1948407579948024
"g37025042300",1,0.0,0.016869300911854103,0.009928295642581356,0.012115977161839308,"inf",0.4366117896158309
"g37025042401",1,0.0,0.016869300911854103,0.0087248322147651,0.012115977161839308,"inf",0.4366117896158309
"g37025041902",1,0.03163191948238677,0.016869300911854103,0.037675568466759526,0.012115977161839308,0.7240496786026872,0.4366117896158309
"g37025040703",1,0.06346749226006192,0.016869300911854103,0.07116483187115097,0.012115977161839308,0.6816291999223594,0.4366117896158309
"g37025042101",1,0.020967741935483872,0.016869300911854103,0.024004774106123172,0.012115977161839308,0.6959532357164538,0.4366117896158309
"g37071032900",2,0.0,0.004349086691794723,0.00889801505817933,0.007901661882874464,"inf",1.104471401581926
"g37071032800",2,0.007545271629778672,0.004349086691794723,0.01201753541023685,0.007901661882874464,0.9682212926261746,1.104471401581926
"g37097060500",3,0.0,0.0,0.007907542579075425,0.005328478855970268,"inf","inf"
"g37097060100",3,0.0,0.0,0.008806262230919765,0.005328478855970268,"inf","inf"
"g37097060200",3,0.0,0.0,0.014364640883977901,0.005328478855970268,"inf","inf"
"g37097060603",3,0.0,0.0,0.01591187270501836,0.005328478855970268,"inf","inf"
"g37179020100",4,0.0,0.0011961722488038277,0.006578947368421052,0.004544827936730481,"inf",2.3097119483931197
"g37179020701",4,0.002631578947368421,0.0011961722488038277,0.0061293021513511075,0.004544827936730481,1.4158874270598303,2.3097119483931197
"g37025041503",5,0.007377598926894702,0.010070493454179255,0.012036158010142232,0.009501243154682303,0.9917607954198435,0.5735400883039226
"g37025042102",5,0.012768817204301076,0.010070493454179255,0.014704939150292988,0.009501243154682303,0.7000783700411444,0.5735400883039226
"g37119001914",6,0.03619909502262444,0.04721422966256866,0.03392864618601596,0.01988398146636723,0.5697743774399335,0.25601448575275343
"g37119001919",6,0.01708860759493671,0.04721422966256866,0.01611945135210394,0.01988398146636723,0.5734263905510352,0.25601448575275343
"g37119002100",6,0.0801209372637944,0.04721422966256866,0.07648618762890468,0.01988398146636723,0.580324747565756,0.25601448575275343
"g37119001918",6,0.04284772577455504,0.04721422966256866,0.04025551915415773,0.01988398146636723,0.5711257662553872,0.25601448575275343
"g37119001802",6,0.06790123456790123,0.04721422966256866,0.04837614750156785,0.01988398146636723,0.43309952446830574,0.25601448575275343
"g37119006302",7,0.013558201058201057,0.01615295862864678,0.014502405286389648,0.013434126194078343,0.6502375800436251,0.5055818101822052
"g37119005509",7,0.018731514952349655,0.01615295862864678,0.02255969475022141,0.013434126194078343,0.7321404695240629,0.5055818101822052
"g37119001910",8,0.07645384302562017,0.09563109300046423,0.04117343665068972,0.01861039147303249,0.32737981220993995,0.11830156418150548
"g37119001605",8,0.10662824207492795,0.09563109300046423,0.09025115835449636,0.01861039147303249,0.5145346578330772,0.11830156418150548
"g37119001702",8,0.061843640606767794,0.09563109300046423,0.0369142714512152,0.01861039147303249,0.3628552002487977,0.11830156418150548
"g37119001915",8,0.10835820895522388,0.09563109300046423,0.053416883631483926,0.01861039147303249,0.2996752160993262,0.11830156418150548
"g37119001606",8,0.05858380030565461,0.09563109300046423,0.060257598746016446,0.01861039147303249,0.6252711316951515,0.11830156418150548
"g37119001607",8,0.14630225080385853,0.09563109300046423,0.07767221514298925,0.01861039147303249,0.32273701739496513,0.11830156418150548
"g37119001920",8,0.0815552394499763,0.09563109300046423,0.057712826721830396,0.01861039147303249,0.4301843201962971,0.11830156418150548
